SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
1IADD,DHFL Pramerica MF - Hybrid FTF Series 40 - RP-ADPO,MF,17-JUL-2015,10,1,INF223JA1IR3,10
1ID1G,DHFL Pramerica MF - Hybrid FTF Series 40 - DP-GO,MF,17-JUL-2015,10,1,INF223JA1IW3,10
1ID2D,DHFL Pramerica MF - Hybrid FTF Series 40 - DP-DPO,MF,17-JUL-2015,10,1,INF223JA1IT9,10
1IDPD,DHFL Pramerica MF - Hybrid FTF Series 40 - RP-DPO,MF,17-JUL-2015,10,1,INF223JA1IX1,10
1IGPG,DHFL Pramerica MF - Hybrid FTF Series 40 - RP-GO,MF,17-JUL-2015,10,1,INF223JA1IS1,10
549,Sundaram MF - Sundaram Top 100 Series III - RP-GO,MF,07-AUG-2014,10,1,INF903J01O26,10
550,Sundaram MF - Sundaram Top 100 Series III - RP-DPO,MF,07-AUG-2014,10,1,INF903J01O34,10
551,Sundaram MF - Sundaram Top 100 Series III - DP-GO,MF,07-AUG-2014,10,1,INF903J01O42,10
552,Sundaram MF - Sundaram Top 100 Series III - DP-DPO,MF,07-AUG-2014,10,1,INF903J01O59,10
94GFTS,HSBC MF - HSBC Fixed Term Series 94 - RP-GO,MF,04-NOV-2016,10,1,INF336L01LO4,10
94GHFTS,HSBC MF - HSBC Fixed Term Series 94 - DP-GO,MF,04-NOV-2016,10,1,INF336L01LM8,10
96FG,HSBC MF - HSBC Fixed Term Series 96 - RP-GO,MF,04-NOV-2016,10,1,INF336L01LW7,10
96HFG,HSBC MF - HSBC Fixed Term Series 96 - DP-GO,MF,04-NOV-2016,10,1,INF336L01LU1,10
AXISSCDDP,Axis MF- Axis Small Cap Fund - DDP,MF,06-DEC-2013,10,1,INF846K01HT1,10
AXISSCDDR,Axis MF- Axis Small Cap Fund - DDR,MF,06-DEC-2013,10,1,INF846K01HU9,10
AXISSCDGP,Axis MF- Axis Small Cap Fund - DG,MF,06-DEC-2013,10,1,INF846K01HS3,10
AXISSCRDP,Axis MF- Axis Small Cap Fund - RDP,MF,06-DEC-2013,10,1,INF846K01HQ7,10
AXISSCRDR,Axis MF- Axis Small Cap Fund - RGRE,MF,06-DEC-2013,10,1,INF846K01HR5,10
AXISSCRGP,Axis MF- Axis Small Cap Fund - RG,MF,06-DEC-2013,10,1,INF846K01HP9,10
BPET1,Baroda Pioneer MF - Baroda Pioneer ETF Sr I - Pl B(D) - DPO,MF,05-JAN-2015,10,1,INF955L01FK1,10
BPET2,Baroda Pioneer MF - Baroda Pioneer ETF Sr I - Pl B(D) - GO,MF,05-JAN-2015,10,1,INF955L01FJ3,10
BPETD,Baroda Pioneer MF - Baroda Pioneer ETF Sr I - Pl A - DPO,MF,05-JAN-2015,10,1,INF955L01FI5,10
BPETG,Baroda Pioneer MF - Baroda Pioneer ETF Sr I - Pl A - GO,MF,05-JAN-2015,10,1,INF955L01FH7,10
BPFM366SAD,Baroda Pioneer MF -Baroda Pioneer FMP Series A - Plan A - DP,MF,13-MAR-2013,10,1,INF955L01872,10
BPFM366SBD,Baroda Pioneer FMP Series A - Plan B - DDP,MF,13-MAR-2013,10,1,INF955L01BS3,10
BPFM372SC2,Baroda Pioneer MF - BP FMP  Series C - Grw - Plan B (Dir),MF,05-APR-2013,10,1,INF955L01BZ8,10
BPFM372SCD,Baroda Pioneer MF - BP FMP  Series C - DP - Plan A,MF,05-APR-2013,10,1,INF955L01BY1,10
BPFM372SCG,Baroda Pioneer MF - BP FMP  Series C - Grw - Plan A,MF,05-APR-2013,10,1,INF955L01BX3,10
BPFM376SN2,Baroda Pioneer MF - Baroda Pioneer FMP Sr N - Pl B (Dir)-GO,MF,03-APR-2014,10,1,INF955L01ET5,10
BPFM376SND,Baroda Pioneer MF - Baroda Pioneer FMP Sr N - Pl A-DPO,MF,03-APR-2014,10,1,INF955L01ES7,10
BPFM376SNG,Baroda Pioneer MF - Baroda Pioneer FMP Sr N - Pl A-GO,MF,03-APR-2014,10,1,INF955L01ER9,10
BPFM378SB2,Baroda Pioneer MF - BPFMP - SB - PB - DGO,MF,02-APR-2013,10,1,INF955L01BV7,10
BPFM378SBD,Baroda Pioneer MF - BPFMP - SB - PA - DPO,MF,02-APR-2013,10,1,INF955L01BU9,10
BPFM378SBG,Baroda Pioneer MF - BPFMP - SB - PA - GO,MF,02-APR-2013,10,1,INF955L01BT1,10
BPFM394SM1,Baroda Pioneer MF -Baroda Pioneer FM P -  Sr. M - Plan B (D) - DPO,MF,18-MAR-2014,10,1,INF955L01EQ1,10
BPFM394SM2,Baroda Pioneer MF - Baroda Pioneer F M P - Sr. M - Plan B (D) - GO,MF,18-MAR-2014,10,1,INF955L01EP3,10
BPFM394SMD,Baroda Pioneer MF - Baroda Pioneer F M P -  Sr. M - Plan A DPO,MF,18-MAR-2014,10,1,INF955L01EO6,10
BPFM394SMG,Baroda Pioneer MF - Baroda Pioneer F M P - Sr. M - Plan A - GO,MF,18-MAR-2014,10,1,INF955L01EN8,10
BPHA1,Baroda Pioneer MF - Baroda Pioneer Hybrid Fund Sr 1 - Pl B (D) - DPO,MF,31-MAR-2015,10,1,INF955L01GI3,10
BPHA2,Baroda Pioneer MF - Baroda Pioneer Hybrid Fund Sr 1 - Pl B (D) - GO,MF,31-MAR-2015,10,1,INF955L01GH5,10
BPHAD,Baroda Pioneer MF - Baroda Pioneer Hybrid Fund Sr 1 - Pl A - DPO,MF,31-MAR-2015,10,1,INF955L01GG7,10
BPHAG,Baroda Pioneer MF - Baroda Pioneer Hybrid Fund Sr 1 - Pl A - GO,MF,31-MAR-2015,10,1,INF955L01GF9,10
BSLCAP23DG,Birla Sun Life MF - Birla Sun Life CPOF - Series 23 - DP-GO,MF,24-SEP-2014,10,1,INF209KA1OP0,10
BSLCAP23RG,Birla Sun Life MF - Birla Sun Life CPOF - Series 23 - RP-GO,MF,24-SEP-2014,10,1,INF209KA1OQ8,10
BSLCAP25DG,Birla Sun Life MF - Birla Sun Life CPOF Sr 25 - DP-GO,MF,02-DEC-2014,10,1,INF209KA1TN4,10
BSLCAP25RG,Birla Sun Life MF - Birla Sun Life CPOF Sr 25 - RP-GO,MF,02-DEC-2014,10,1,INF209KA1TO2,10
BSLCAP26DG,Birla Sun Life MF - Birla Sun Life CPOF Sr 26 - DP-GO,MF,08-APR-2015,10,1,INF209KA1J73,10
BSLCAP26RG,Birla Sun Life MF - Birla Sun Life CPOF Sr 26 - RP-GO,MF,08-APR-2015,10,1,INF209KA1J81,10
BSLCAP29DG,Birla Sun Life MF - Birla Sun Life CPOF Sr 29 - DP-GO,MF,17-DEC-2015,10,1,INF209KA10O9,10
BSLCAP29RG,Birla Sun Life MF - Birla Sun Life CPOF Sr 29 - RP-GO,MF,17-DEC-2015,10,1,INF209KA11O7,10
BSLCAP30DG,Birla Sun Life MF - Birla Sun Life CPOF - Sr 30 - DP-GO,MF,22-MAR-2016,10,1,INF209KA13V8,10
BSLCAP30RG,Birla Sun Life MF - Birla Sun Life CPOF - Sr 30 - RP-GO,MF,22-MAR-2016,10,1,INF209KA14V6,10
BSLCPOF22D,Birla Sun Life Mutual Fund - Birla Sun Life CPOF Series 22 - DPGO,MF,01-SEP-2017,10,1,INF209KB1IX5,10
BSLCPOF22R,Birla Sun Life Mutual Fund - Birla Sun Life CPOF Series 22 - RPGO,MF,01-SEP-2017,10,1,INF209KB1IY3,10
BSLDAFSIDD,Birla Sun Life MF - Birla Sun Life DAF - Sr I - DP-DPO,MF,04-JUL-2016,10,1,INF209KB1044,10
BSLDAFSIDG,Birla Sun Life MF - Birla Sun Life DAF - Sr I - DP-GO,MF,04-JUL-2016,10,1,INF209KB1036,10
BSLDAFSIRD,Birla Sun Life MF - Birla Sun Life DAF - Sr I - RP-DPO,MF,04-JUL-2016,10,1,INF209KB1028,10
BSLDAFSIRG,Birla Sun Life MF - Birla Sun Life DAF - Sr I - RP-GO,MF,04-JUL-2016,10,1,INF209KB1010,10
BSLELF3DD,Birla Sun Life Mutual Fund -Emerging Leaders Fund - DPDP,MF,19-JUL-2017,10,1,INF209KB1HW9,10
BSLELF3DG,Birla Sun Life Mutual Fund - Emerging Leaders Fund - DPG,MF,19-JUL-2017,10,1,INF209KB1HV1,10
BSLELF3RD,Birla Sun Life Mutual Fund - Emerging Leaders Fund - RPDP,MF,19-JUL-2017,10,1,INF209KB1HY5,10
BSLELF3RG,Birla Sun Life Mutual Fund -Emerging Leaders Fund - RPG,MF,19-JUL-2017,10,1,INF209KB1HX7,10
BSLELF4DD,Birla Sun Life Mutual Fund - Birla Sun Life ELF - Series 4 - DPDPO,MF,16-AUG-2017,10,1,INF209KB1IU1,10
BSLELF4DG,Birla Sun Life Mutual Fund - Birla Sun Life ELF - Series 4 - DPGO,MF,16-AUG-2017,10,1,INF209KB1IT3,10
BSLELF4RD,Birla Sun Life Mutual Fund - Birla Sun Life ELF - Series 4 - RPDPO,MF,16-AUG-2017,10,1,INF209KB1IW7,10
BSLELF4RG,Birla Sun Life Mutual Fund - Birla Sun Life ELF - Series 4 - RPGO,MF,16-AUG-2017,10,1,INF209KB1IV9,10
BSLELFS5DG,Birla Sun Life MF - Birla Sun Life ELF - Sr 5 - DP-GO,MF,08-JAN-2015,10,1,INF209KA1WH0,10
BSLELFS5DN,Birla Sun Life MF - Birla Sun Life ELF - Sr 5 - DP-DPO,MF,08-JAN-2015,10,1,INF209KA1WI8,10
BSLELFS5RG,Birla Sun Life MF - Birla Sun Life ELF - Sr 5 - RP-GO,MF,08-JAN-2015,10,1,INF209KA1WF4,10
BSLELFS5RN,Birla Sun Life MF - Birla Sun Life ELF - Sr 5 - RP-DPO,MF,08-JAN-2015,10,1,INF209KA1WG2,10
BSLELFS6DG,Birla Sun Life MF - Birla Sun Life ELF - Sr 6 - DP-GO,MF,23-APR-2015,10,1,INF209KA1K13,10
BSLELFS6DN,Birla Sun Life MF - Birla Sun Life ELF - Sr 6 - DP-DPO,MF,23-APR-2015,10,1,INF209KA1K21,10
BSLELFS6RG,Birla Sun Life MF - Birla Sun Life ELF - Sr 6 - RP-GO,MF,23-APR-2015,10,1,INF209KA1J99,10
BSLELFS6RN,Birla Sun Life MF - Birla Sun Life ELF - Sr 6 - RP-DPO,MF,23-APR-2015,10,1,INF209KA1K05,10
BSLELFS7DD,Birla Sun Life MF - Birla Sun Life ELF - S7 7 - DP-DPO,MF,01-MAR-2016,10,1,INF209KA11S8,10
BSLELFS7DG,Birla Sun Life MF - Birla Sun Life ELF - S7 7 - DP-GO,MF,01-MAR-2016,10,1,INF209KA12S6,10
BSLELFS7RD,Birla Sun Life MF - Birla Sun Life ELF - S7 7 - RP-DPO,MF,01-MAR-2016,10,1,INF209KA10S0,10
BSLELFS7RG,Birla Sun Life MF - Birla Sun Life ELF - S7 7 - RP-GO,MF,01-MAR-2016,10,1,INF209KA19R3,10
BSLFEF4SRN,Birla Sun Life MF - Birla Sun Life FEF - Series 3 - RP-DPO,MF,10-NOV-2014,10,1,INF209KA1RS7,10
BSLFEFS2DG,Birla Sun Life MF - Birla Sun Life FEF - Sr 2 - DP-GO,MF,02-APR-2014,10,1,INF209KA1DH0,10
BSLFEFS3DG,Birla Sun Life MF - Birla Sun Life FEF  Series 4 - DP-GO,MF,29-DEC-2014,10,1,INF209KA1UN2,10
BSLFEFS3DN,Birla Sun Life MF - Birla Sun Life FEF  Series 4 - DP-DPO,MF,29-DEC-2014,10,1,INF209KA1UO0,10
BSLFEFS3RG,Birla Sun Life MF - Birla Sun Life FEF  Series 4 - RP-GO,MF,29-DEC-2014,10,1,INF209KA1UL6,10
BSLFEFS3RN,Birla Sun Life MF - Birla Sun Life FEF  Series 4 - RP-DPO,MF,29-DEC-2014,10,1,INF209KA1UM4,10
BSLFEFS4DG,Birla Sun Life MF - Birla Sun Life FEF - Series 3 - DP-GO,MF,10-NOV-2014,10,1,INF209KA1RT5,10
BSLFEFS4DN,Birla Sun Life MF - Birla Sun Life FEF - Series 3 - DP-DPO,MF,10-NOV-2014,10,1,INF209KA1RU3,10
BSLFEFS4RG,Birla Sun Life MF - Birla Sun Life FEF - Series 3 - RP-GO,MF,10-NOV-2014,10,1,INF209KA1RR9,10
BSLFEFS5DG,Birla Sun Life MF - Birla Sun Life Focused Equity Fund - Sr 5 - DP-GO,MF,01-APR-2015,10,1,INF209KA1B71,10
BSLFEFS5DN,Birla Sun Life MF - Birla Sun Life Focused Equity Fund - Sr 5 - DP-DPO,MF,01-APR-2015,10,1,INF209KA1B89,10
BSLFEFS5RG,Birla Sun Life MF - Birla Sun Life Focused Equity Fund - Sr 5 - RP-GO,MF,01-APR-2015,10,1,INF209KA1B55,10
BSLFEFS5RN,Birla Sun Life MF - Birla Sun Life Focused Equity Fund - Sr 5 - RP-DPO,MF,01-APR-2015,10,1,INF209KA1B63,10
BSLFEFS6DG,Birla Sun Life MF - Birla Sun Life FEFund - S 6 - DP - GO,MF,26-OCT-2015,10,1,INF209KA10L5,10
BSLFEFS6DN,Birla Sun Life MF - Birla Sun Life FEFund - S 6 - DP - DPO,MF,26-OCT-2015,10,1,INF209KA11L3,10
BSLFEFS6RG,Birla Sun Life MF - Birla Sun Life FEFund - S 6 - RP - GO,MF,26-OCT-2015,10,1,INF209KA18K0,10
BSLFEFS6RN,Birla Sun Life MF - Birla Sun Life FEFund - S 6 - RP - DPO,MF,26-OCT-2015,10,1,INF209KA19K8,10
BSLFTPLXDG,Birla Sun Life MF - Birla Sun Life FTP - Series LX (1099 D) - DP-GO,MF,07-OCT-2014,10,1,INF209KA1PY9,10
BSLFTPLXDN,Birla Sun Life MF - Birla Sun Life FTP - Series LX (1099 D) - DP-NDPO,MF,07-OCT-2014,10,1,INF209KA1PZ6,10
BSLFTPLXRG,Birla Sun Life MF - Birla Sun Life FTP - Series LX (1099 D) - RP-GO,MF,07-OCT-2014,10,1,INF209KA1PV5,10
BSLFTPLXRN,Birla Sun Life MF - Birla Sun Life FTP - Series LX (1099 D) - RP-NDPO,MF,07-OCT-2014,10,1,INF209KA1PW3,10
BSLFTPLXRQ,Birla Sun Life MF - Birla Sun Life FTP - Series LX (1099 D) - RP-QDPO,MF,07-OCT-2014,10,1,INF209KA1PX1,10
BSLFTPMADG,Birla Sun Life MF- BSL FTP-SMA-1099D-Dp-Grw,MF,27-OCT-2014,10,1,INF209KA1RO6,10
BSLFTPMADN,Birla Sun Life MF- BSL FTP-SMA-1099D-DP-NDP,MF,27-OCT-2014,10,1,INF209KA1RP3,10
BSLFTPMADQ,Birla Sun Life MF- BSL FTP-SMA-1099D-DP-QDP,MF,27-OCT-2014,10,1,INF209KA1RQ1,10
BSLFTPMARG,Birla Sun Life MF- BSL FTP-SMA-1099D-RP-Grw,MF,27-OCT-2014,10,1,INF209KA1RL2,10
BSLFTPMARN,Birla Sun Life MF- BSL FTP-SMA-1099D-RP-NDP,MF,27-OCT-2014,10,1,INF209KA1RM0,10
BSLFTPMARQ,Birla Sun Life MF- BSL FTP-SMA-1099D-RP-QDP,MF,27-OCT-2014,10,1,INF209KA1RN8,10
BSLFTPMDDG,Birla Sun Life MF - Birla Sun Life FTP - Sr MD (1099 D) - DP-GO,MF,20-NOV-2014,10,1,INF209KA1TC7,10
BSLFTPMDDN,Birla Sun Life MF - Birla Sun Life FTP - Sr MD (1099 D) - DP-NDPO,MF,20-NOV-2014,10,1,INF209KA1TD5,10
BSLFTPMDRG,Birla Sun Life MF - Birla Sun Life FTP - Sr MD (1099 D) - RP-GO,MF,20-NOV-2014,10,1,INF209KA1SZ0,10
BSLFTPMDRN,Birla Sun Life MF - Birla Sun Life FTP - Sr MD (1099 D) - RP-NDPO,MF,20-NOV-2014,10,1,INF209KA1TA1,10
BSLFTPMDRQ,Birla Sun Life MF - Birla Sun Life FTP - Sr MD (1099 D) - RP-QDPO,MF,20-NOV-2014,10,1,INF209KA1TB9,10
BSLFTPMKDG,Birla Sun Life MF - Birla Sun Life FTP Series MK (1105 D) - DP-GO,MF,06-APR-2015,10,1,INF209KA1I82,10
BSLFTPMKDQ,Birla Sun Life MF - Birla Sun Life FTP Series MK (1105 D) - DP-QDPO,MF,06-APR-2015,10,1,INF209KA1J08,10
BSLFTPMKRG,Birla Sun Life MF - Birla Sun Life FTP Series MK (1105 D) - RP-GO ,MF,06-APR-2015,10,1,INF209KA1I58,10
BSLFTPMKRN,Birla Sun Life MF - Birla Sun Life FTP Series MK (1105 D) - RP-NDPO,MF,06-APR-2015,10,1,INF209KA1I66,10
BSLFTPMKRQ,Birla Sun Life MF - Birla Sun Life FTP Series MK (1105 D) - RP-QDPO,MF,06-APR-2015,10,1,INF209KA1I74,10
BSLFTPMPDG,Birla Sun Life MF - Birla Sun Life FTP - Series MP (1141D) - DP-GO,MF,02-JUN-2015,10,1,INF209KA19D3,10
BSLFTPMPDN,Birla Sun Life MF - Birla Sun Life FTP - Series MP (1141D) - DP-NDPO,MF,02-JUN-2015,10,1,INF209KA10E0,10
BSLFTPMPRG,Birla Sun Life MF - Birla Sun Life FTP - Series MP (1141D) - RP-GO,MF,02-JUN-2015,10,1,INF209KA16D9,10
BSLFTPMPRQ,Birla Sun Life MF - Birla Sun Life FTP - Series MP (1141D) - RP-QDPO,MF,02-JUN-2015,10,1,INF209KA18D5,10
BSLFTPMQDG,Birla Sun Life MF - Birla Sun Life FTP - Sr MQ (1159D) - DP-GO,MF,19-JUN-2015,10,1,INF209KA12E6,10
BSLFTPMQDN,Birla Sun Life MF - Birla Sun Life FTP - Sr MQ (1159D) - DP-NDPO,MF,19-JUN-2015,10,1,INF209KA13E4,10
BSLFTPMQDQ,Birla Sun Life MF - Birla Sun Life FTP - Sr MQ (1159D) - DP-QDPO,MF,19-JUN-2015,10,1,INF209KA14E2,10
BSLFTPMQRG,Birla Sun Life MF - Birla Sun Life FTP - Sr MQ (1159D) - RP-GO,MF,19-JUN-2015,10,1,INF209KA15E9,10
BSLFTPMQRN,Birla Sun Life MF - Birla Sun Life FTP - Sr MQ (1159D) - RP-NDPO,MF,19-JUN-2015,10,1,INF209KA16E7,10
BSLFTPMQRQ,Birla Sun Life MF - Birla Sun Life FTP - Sr MQ (1159D) - RP-QDPO,MF,19-JUN-2015,10,1,INF209KA17E5,10
BSLFTPMRDG,Birla Sun Life MF - Birla Sun Life FTP - Sr MR (1153D) - DP-GO,MF,11-JUN-2015,10,1,INF209KA18E3,10
BSLFTPMRDN,Birla Sun Life MF - Birla Sun Life FTP - Sr MR (1153D) - DP-NDPO,MF,11-JUN-2015,10,1,INF209KA19E1,10
BSLFTPMRRG,Birla Sun Life MF - Birla Sun Life FTP - Sr MR (1153D) - RP-GO,MF,11-JUN-2015,10,1,INF209KA11F5,10
BSLFTPMRRN,Birla Sun Life MF - Birla Sun Life FTP - Sr MR (1153D) - RP-NDPO,MF,11-JUN-2015,10,1,INF209KA12F3,10
BSLFTPMRRQ,Birla Sun Life MF - Birla Sun Life FTP - Sr MR (1153D) - RP-QDPO,MF,11-JUN-2015,10,1,INF209KA13F1,10
BSLFTPMUDG,Birla Sun Life MF - Birla Sun Life FTP - Series MU (1117D) - DP-GO,MF,24-JUL-2015,10,1,INF209KA15H2,10
BSLFTPMUDN,Birla Sun Life MF - Birla Sun Life FTP - Series MU (1117D) - DP-NDPO,MF,24-JUL-2015,10,1,INF209KA16H0,10
BSLFTPMUDQ,Birla Sun Life MF - Birla Sun Life FTP - Series MU (1117D) - DP-QDPO,MF,24-JUL-2015,10,1,INF209KA17H8,10
BSLFTPMURG,Birla Sun Life MF - Birla Sun Life FTP - Series MU (1117D) - RP-GO,MF,24-JUL-2015,10,1,INF209KA12H9,10
BSLFTPMURN,Birla Sun Life MF - Birla Sun Life FTP - Series MU (1117D) - RP-NDPO,MF,24-JUL-2015,10,1,INF209KA13H7,10
BSLFTPMURQ,Birla Sun Life MF - Birla Sun Life FTP - Series MU (1117D) - RP-QDPO,MF,24-JUL-2015,10,1,INF209KA14H5,10
BSLFTPMXDG,Birla Sun Life MF - Birla Sun Life FTP - Sr MX (1128D) - DP-GO,MF,06-OCT-2015,10,1,INF209KA12L1,10
BSLFTPMXRG,Birla Sun Life MF - Birla Sun Life FTP - Sr MX (1128D) - RP-GO,MF,06-OCT-2015,10,1,INF209KA15L4,10
BSLFTPMXRN,Birla Sun Life MF - Birla Sun Life FTP - Sr MX (1128D) - RP-NDPO,MF,06-OCT-2015,10,1,INF209KA16L2,10
BSLFTPMXRQ,Birla Sun Life MF - Birla Sun Life FTP - Sr MX (1128D) - RP-QDPO,MF,06-OCT-2015,10,1,INF209KA17L0,10
BSLFTPMYDG,Birla Sun Life MF - Birla Sun Life FTP - Sr MY (1107D) - GP-GO,MF,23-OCT-2015,10,1,INF209KA14M5,10
BSLFTPMYDQ,Birla Sun Life MF - Birla Sun Life FTP - Sr MY (1107D) - DP-QDPO,MF,23-OCT-2015,10,1,INF209KA16M0,10
BSLFTPMYRG,Birla Sun Life MF - Birla Sun Life FTP - Sr MY (1107D) - RP-GO,MF,23-OCT-2015,10,1,INF209KA11M1,10
BSLFTPMYRN,Birla Sun Life MF - Birla Sun Life FTP - Sr MY (1107D) - RP-NDPO,MF,23-OCT-2015,10,1,INF209KA12M9,10
BSLFTPMYRQ,Birla Sun Life MF - Birla Sun Life FTP - Sr MY (1107D) - RP-QDPO,MF,23-OCT-2015,10,1,INF209KA13M7,10
BSLFTPNBDG,Birla Sun Life MF - Birla Sun Life FTP - Sr NB (1099D) - DP-GO,MF,24-DEC-2015,10,1,INF209KA16O6,10
BSLFTPNBRG,Birla Sun Life MF - Birla Sun Life FTP - Sr NB (1099D) - RP-GO,MF,24-DEC-2015,10,1,INF209KA13O3,10
BSLFTPNBRN,Birla Sun Life MF - Birla Sun Life FTP - Sr NB (1099D) - RP-NDPO,MF,24-DEC-2015,10,1,INF209KA14O1,10
BSLFTPNDDG,Birla Sun Life MF - Birla Sun Life FTP - Sr ND (1109D) - DP-GO,MF,05-JAN-2016,10,1,INF209KA18P9,10
BSLFTPNDDN,Birla Sun Life MF - Birla Sun Life FTP - Sr ND (1109D) - DP-NDPO,MF,05-JAN-2016,10,1,INF209KA19P7,10
BSLFTPNDDQ,Birla Sun Life MF - Birla Sun Life FTP - Sr ND (1109D) - DP-QDPO,MF,05-JAN-2016,10,1,INF209KA10Q4,10
BSLFTPNDRG,Birla Sun Life MF - Birla Sun Life FTP - Sr ND (1109D) - RP-GO,MF,05-JAN-2016,10,1,INF209KA15P5,10
BSLFTPNDRN,Birla Sun Life MF - Birla Sun Life FTP - Sr ND (1109D) - RP-NDPO,MF,05-JAN-2016,10,1,INF209KA16P3,10
BSLFTPNDRQ,Birla Sun Life MF - Birla Sun Life FTP - Sr ND (1109D) - RP-QDPO,MF,05-JAN-2016,10,1,INF209KA17P1,10
BSLFTPNEDG,Birla Sun Life MF - Birla Sun Life FTP Series NE - DP-GO,MF,21-JAN-2016,10,1,INF209KA14Q6,10
BSLFTPNEDN,Birla Sun Life MF - Birla Sun Life FTP Series NE - DP-NDPO,MF,21-JAN-2016,10,1,INF209KA15Q3,10
BSLFTPNERG,Birla Sun Life MF - Birla Sun Life FTP Series NE - RP-GO ,MF,21-JAN-2016,10,1,INF209KA11Q2,10
BSLFTPNERN,Birla Sun Life MF - Birla Sun Life FTP Series NE - RP-NDPO,MF,21-JAN-2016,10,1,INF209KA12Q0,10
BSLFTPNERQ,Birla Sun Life MF - Birla Sun Life FTP Series NE - RP-QDPO,MF,21-JAN-2016,10,1,INF209KA13Q8,10
BSLFTPNGDG,Birla Sun Life MF - Birla Sun Life FTP Sr NG (1169D) - DP-GO ,MF,05-FEB-2016,10,1,INF209KA16R9,10
BSLFTPNGDQ,Birla Sun Life MF - Birla Sun Life FTP Sr NG (1169D) - DP-QDPO,MF,05-FEB-2016,10,1,INF209KA18R5,10
BSLFTPNGRG,Birla Sun Life MF - Birla Sun Life FTP Sr NG (1169D) - RP-GO,MF,05-FEB-2016,10,1,INF209KA13R6,10
BSLFTPNGRN,Birla Sun Life MF - Birla Sun Life FTP Sr NG (1169D) - RP-NDPO,MF,05-FEB-2016,10,1,INF209KA14R4,10
BSLFTPNHDG,Birla Sun Life MF - Birla Sun Life FTP Sr NH (1168D) - DP-GO,MF,12-FEB-2016,10,1,INF209KA16S7,10
BSLFTPNHDQ,Birla Sun Life MF - Birla Sun Life FTP Sr NH (1168D) - DP-QDPO,MF,12-FEB-2016,10,1,INF209KA18S3,10
BSLFTPNHRG,Birla Sun Life MF - Birla Sun Life FTP Sr NH (1168D) - RP-GO,MF,12-FEB-2016,10,1,INF209KA13S4,10
BSLFTPNHRN,Birla Sun Life MF - Birla Sun Life FTP Sr NH (1168D) - RP-NDPO,MF,12-FEB-2016,10,1,INF209KA14S2,10
BSLFTPNHRQ,Birla Sun Life MF - Birla Sun Life FTP Sr NH (1168D) - RP-QDPO,MF,12-FEB-2016,10,1,INF209KA15S9,10
BSLFTPNIDG,Birla Sun Life MF - Birla Sun Life FTP Sr NI (1163D) - DP-GO,MF,18-FEB-2016,10,1,INF209KA12T4,10
BSLFTPNIRG,Birla Sun Life MF - Birla Sun Life FTP Sr NI (1163D) - RP-GO,MF,18-FEB-2016,10,1,INF209KA19S1,10
BSLFTPNIRN,Birla Sun Life MF - Birla Sun Life FTP Sr NI (1163D) - RP-NDPO,MF,18-FEB-2016,10,1,INF209KA10T8,10
BSLFTPNKDG,Birla Sun Life MF - Birla Sun Life FTP - Sr NK (1196D) - DP-GO,MF,26-FEB-2016,10,1,INF209KA14U8,10
BSLFTPNKDN,Birla Sun Life MF - Birla Sun Life FTP - Sr NK (1196D) - DP-NDPO,MF,26-FEB-2016,10,1,INF209KA15U5,10
BSLFTPNKRG,Birla Sun Life MF - Birla Sun Life FTP - Sr NK (1196D) - RP-GO,MF,26-FEB-2016,10,1,INF209KA11U4,10
BSLFTPNLDG,Birla Sun Life MF - Birla Sun Life FTP - Sr NL (1148D) - DP-GO,MF,16-MAR-2016,10,1,INF209KA10V4,10
BSLFTPNLDN,Birla Sun Life MF - Birla Sun Life FTP - Sr NL (1148D) - DP-NDPO,MF,16-MAR-2016,10,1,INF209KA11V2,10
BSLFTPNLDQ,Birla Sun Life MF - Birla Sun Life FTP - Sr NL (1148D) - DP-QDPO,MF,16-MAR-2016,10,1,INF209KA12V0,10
BSLFTPNLRG,Birla Sun Life MF - Birla Sun Life FTP - Sr NL (1148D) - RP-GO,MF,16-MAR-2016,10,1,INF209KA17U1,10
BSLFTPNLRN,Birla Sun Life MF - Birla Sun Life FTP - Sr NL (1148D) - RP-NDPO,MF,16-MAR-2016,10,1,INF209KA18U9,10
BSLFTPNLRQ,Birla Sun Life MF - Birla Sun Life FTP - Sr NL (1148D) - RP-QDPO,MF,16-MAR-2016,10,1,INF209KA19U7,10
BSLFTPNPDG,Birla Sun Life MF - Birla Sun Life FTP - Sr NP (1163D) - DP-GO,MF,31-MAR-2016,10,1,INF209KA13X4,10
BSLFTPNPDN,Birla Sun Life MF - Birla Sun Life FTP - Sr NP (1163D) - DP-NDPO,MF,31-MAR-2016,10,1,INF209KA14X2,10
BSLFTPNPRG,Birla Sun Life MF - Birla Sun Life FTP - Sr NP (1163D) - RP-GO,MF,31-MAR-2016,10,1,INF209KA16X7,10
BSLFTPNPRN,Birla Sun Life MF - Birla Sun Life FTP - Sr NP (1163D) - RP-NDPO,MF,31-MAR-2016,10,1,INF209KA17X5,10
BSLFTPNPRQ,Birla Sun Life MF - Birla Sun Life FTP - Sr NP (1163D) - RP-QDPO,MF,31-MAR-2016,10,1,INF209KA18X3,10
